"gene","nint","nsig","z","npos","nneg","posfrac","enriched","posstrict","pos","negstrict","neg","allstrict","all","SA","SApos","SAneg","type","DAsign","SAsign","driver","canonical","oncogene","tsgene"
"MYH7B",10,1,0.50545412350454,0,1,0,0,0,4,1,2,1,6,1,0,1,"BCT","negative","negative",0,0,0,0
"MYH8",12,0,-0.695162227606575,0,0,0,0,0,0,0,1,0,1,0,0,0,"BCT","negative","none",0,0,0,0
"MYH9",123,10,0.62624840930042,9,1,0.9,0,0,6,1,1,1,7,1,0,1,"BCT","positive","negative",1,1,0,1
"MYL1",17,0,-0.99087873089529,0,0,0,0,0,1,0,0,0,1,0,0,0,"BCT","negative","none",0,0,0,0
"MYL10",8,0,-0.728305472449338,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"MYL12A",48,3,0.208677675076988,2,1,0.666666666666667,0,1,8,1,3,2,11,2,1,1,"BCT","mixed","both",1,0,0,0
"MYL12B",32,2,0.292744013814077,2,0,1,0,1,7,2,3,3,10,3,1,2,"BCT","positive","both",0,0,0,0
"MYL2",11,0,-0.832586781490764,0,0,0,0,0,1,0,1,0,2,0,0,0,"BCT","negative","none",0,0,0,0
"MYL3",6,0,-0.500083500334583,0,0,0,0,0,3,2,2,2,5,2,0,2,"BCT","negative","negative",0,0,0,0
"MYL4",9,1,0.496906982037621,1,0,1,0,0,1,0,2,0,3,0,0,0,"BCT","positive","none",0,0,0,0
"MYL5",9,1,0.669027739461933,0,1,0,0,1,2,1,5,2,7,2,1,1,"BCT","negative","both",0,0,0,0
"MYL6",62,5,0.626683113713465,4,1,0.8,0,0,4,1,2,1,6,1,0,1,"BCT","positive","negative",0,0,0,0
"MYL6B",33,4,1.58436428018979,2,2,0.5,0,1,5,0,4,1,9,1,1,0,"BCT","mixed","positive",0,0,0,0
"MYL7",6,0,-0.56497252557974,0,0,0,0,0,0,0,1,0,1,0,0,0,"BCT","negative","none",0,0,0,0
"MYL9",24,4,1.96746086508451,0,4,0,0,0,8,0,3,0,11,0,0,0,"BCT","negative","none",0,0,0,0
"MYLIP",10,1,0.631087725562519,0,1,0,0,0,5,3,4,3,9,3,0,2,"BCT","negative","negative",0,0,0,0
"MYLK",10,4,4.74655143443643,0,4,0,1,1,6,1,4,2,10,2,1,1,"BCT","negative","both",1,0,0,0
"MYLK2",25,2,0.579042814619372,2,0,1,0,0,0,0,0,0,0,0,0,0,"BCT","positive","none",0,0,0,0
"MYLK3",4,0,-0.491151552981679,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"MYLK4",15,1,0.0798549409504689,0,1,0,0,0,0,1,2,1,2,1,0,1,"BCT","negative","negative",0,0,0,0
"MYNN",8,0,-0.588551687239885,0,0,0,0,0,3,1,3,1,6,1,0,1,"BCT","negative","negative",0,0,0,0
"MYO10",29,2,0.227950477821096,2,0,1,0,2,6,1,2,3,8,3,2,1,"BCT","positive","both",0,0,0,0
"MYO15A",9,0,-0.616933569157972,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"MYO15B",15,0,-1.01916069615648,0,0,0,0,0,4,0,6,0,10,0,0,0,"BCT","negative","none",0,0,0,0
"MYO16",3,1,2.3685438564654,0,1,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"MYO18A",59,2,-0.499127124620044,1,1,0.5,0,0,5,1,2,1,7,1,0,1,"BCT","mixed","negative",0,0,0,0
"MYO18B",8,1,0.820893139341831,1,0,1,0,0,1,0,0,0,1,0,0,0,"BCT","positive","none",1,0,0,0
"MYO19",47,9,3.46964128027329,9,0,1,0,3,6,1,2,4,8,4,3,1,"BCT","positive","both",0,0,0,0
"MYO1A",9,0,-0.756671605733563,0,0,0,0,0,0,0,1,0,1,0,0,0,"BCT","negative","none",0,0,0,0
"MYO1B",46,2,-0.31961900800767,0,2,0,0,2,6,0,2,2,8,2,2,0,"BCT","negative","positive",1,0,0,0
"MYO1C",81,3,-0.77962214744635,0,3,0,0,0,6,1,1,1,7,1,0,1,"BCT","negative","negative",0,0,0,0
"MYO1D",33,0,-1.16045866154585,0,0,0,0,0,6,1,3,1,9,1,0,1,"BCT","negative","negative",0,0,0,0
"MYO1E",42,4,0.813943360208011,3,1,0.75,0,2,5,0,3,2,8,2,2,0,"BCT","mixed","positive",0,0,0,0
"MYO1F",12,1,0.470168645153003,0,1,0,0,0,2,0,9,0,11,0,0,0,"BCT","negative","none",0,0,0,0
"MYO1G",5,0,-0.587175328540119,0,0,0,0,0,6,1,2,1,8,1,0,1,"BCT","negative","negative",1,0,0,0
"MYO1H",2,0,-0.312909072914302,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",1,0,0,0
"MYO3A",15,0,-0.934530797545114,0,0,0,0,0,0,1,2,1,2,1,0,1,"BCT","negative","negative",0,0,0,0
"MYO3B",14,1,0.192278325239343,0,1,0,0,0,0,0,1,0,1,0,0,0,"BCT","negative","none",0,0,0,0
"MYO5A",31,1,-0.509324812576299,0,1,0,0,0,8,1,0,1,8,1,0,1,"BCT","negative","negative",0,0,0,0
"MYO5B",21,3,1.78505851870799,0,3,0,0,1,4,2,3,3,7,3,1,2,"BCT","negative","both",1,0,0,0
"MYO5C",31,3,0.92356609801361,0,3,0,0,1,4,1,3,2,7,2,1,1,"BCT","negative","both",0,0,0,0
"MYO6",82,17,3.34257969958929,0,17,0,0,0,4,3,5,3,9,3,0,2,"BCT","negative","negative",0,0,0,0
