"gene","nint","nsig","z","npos","nneg","posfrac","enriched","canonical","oncogenes","tsgenes","role","type"
"FAM50A",86,12,2.06200023440308,3,9,0.25,0,0,0,0,"unknown","WCT"
"FAM78B",5,0,-0.46617279325453,0,0,NA,0,0,0,0,"unknown","WCT"
"FAM83B",124,2,-0.920845256583415,1,1,0.5,0,0,0,0,"unknown","WCT"
"FANCA",161,3,-0.676724282379095,0,3,0,0,1,0,1,"TSG","WCT"
"FANCC",106,12,1.40074247104836,7,5,0.583333333333333,0,1,0,1,"TSG","WCT"
"FANCD2",765,60,0.880437224737792,30,30,0.5,0,1,0,1,"TSG","WCT"
"FANCE",121,3,-0.497783351621785,0,3,0,0,1,0,1,"TSG","WCT"
"FANCF",50,1,-0.600730549400025,1,0,1,0,1,0,1,"TSG","WCT"
"FANCG",135,3,-0.695622220975016,1,2,0.333333333333333,0,1,0,1,"TSG","WCT"
"FANCM",77,10,1.97000930766459,4,6,0.4,0,0,0,0,"unknown","WCT"
"FANK1",17,0,-0.815930923500642,0,0,NA,0,0,0,0,"unknown","WCT"
"FAS",293,19,0.743560007185873,8,11,0.421052631578947,0,1,0,1,"TSG","WCT"
"FAT1",101,10,1.70380274160521,4,6,0.4,0,1,0,1,"TSG","WCT"
"FAT2",2,0,-0.293405788153095,0,0,NA,0,0,0,0,"unknown","WCT"
"FAT3",43,3,0.448305078723209,2,1,0.666666666666667,0,1,0,0,"unknown","WCT"
"FAT4",61,7,1.8322584883939,2,5,0.285714285714286,0,1,0,1,"TSG","WCT"
"FBF1",152,11,0.67735682997037,9,2,0.818181818181818,0,0,0,0,"unknown","WCT"
"FBLN1",123,11,1.11068726880156,4,7,0.363636363636364,0,0,0,0,"unknown","WCT"
"FBLN2",57,2,-0.360426046733677,0,2,0,0,1,0,1,"TSG","WCT"
"FBN2",63,8,2.12587032507423,1,7,0.125,0,0,0,0,"unknown","WCT"
"FBN3",16,1,0.096456537141125,0,1,0,0,0,0,0,"unknown","WCT"
"FBRSL1",51,1,-0.64776743435173,1,0,1,0,0,0,0,"unknown","WCT"
"FBXL17",79,1,-0.939782464869117,1,0,1,0,0,0,0,"unknown","WCT"
"FBXO11",103,2,-0.748451262235,2,0,1,0,1,0,1,"TSG","WCT"
"FBXO28",83,6,0.742131134429526,5,1,0.833333333333333,0,0,0,0,"unknown","WCT"
"FBXO31",37,2,-0.166445693985334,2,0,1,0,0,0,0,"unknown","WCT"
"FBXO32",235,21,0.923692712084037,14,7,0.666666666666667,0,0,0,0,"unknown","WCT"
"FBXO40",13,1,0.432778577678352,1,0,1,0,0,0,0,"unknown","WCT"
"FBXO5",57,16,4.12886131730076,8,8,0.5,0,0,0,0,"unknown","WCT"
"FBXO9",14,0,-0.710632830240464,0,0,NA,0,0,0,0,"unknown","WCT"
"FBXW5",156,4,-0.684252606860248,2,2,0.5,0,0,0,0,"unknown","WCT"
