"gene","nint","nsig","z","npos","nneg","posfrac","enriched","posstrict","pos","negstrict","neg","allstrict","all","SA","SApos","SAneg","type","DAsign","SAsign","driver","canonical","oncogene","tsgene"
"FGF23",24,0,-1.05245196870719,0,0,0,0,0,3,0,2,0,5,0,0,0,"WCT","negative","none",0,0,0,0
"FGF3",43,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,"WCT","positive","none",0,0,0,0
"FGF4",33,5,2.58639176047931,1,4,0.2,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"FGF5",29,3,1.37690034374767,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,"WCT","mixed","none",1,0,0,0
"FGF6",31,3,1.35014009584669,3,0,1,0,0,0,0,0,0,0,0,0,0,"WCT","positive","none",0,0,0,0
"FGF7",24,1,-0.0398313753407846,1,0,1,0,1,6,0,1,1,7,1,1,0,"WCT","positive","positive",0,0,0,0
"FGF8",46,3,0.724233593580252,1,2,0.333333333333333,0,0,1,0,0,0,1,0,0,0,"WCT","mixed","none",0,0,0,0
"FGF9",23,2,0.852939776406549,1,1,0.5,0,0,0,0,0,0,0,0,0,0,"WCT","mixed","none",0,0,0,0
"FGFBP1",62,3,-0.166939883088637,1,2,0.333333333333333,0,1,5,1,2,2,7,2,1,1,"WCT","mixed","both",1,0,0,0
"FGFBP2",2,0,-0.228265773075804,0,0,0,0,0,2,1,2,1,4,1,0,1,"WCT","negative","negative",0,0,0,0
"FGFR1",148,11,1.21547122180198,7,4,0.636363636363636,0,0,3,0,3,0,6,0,0,0,"WCT","mixed","none",1,1,1,0
"FGFR1OP2",17,2,1.85803866814114,1,1,0.5,0,0,7,1,0,1,7,1,0,1,"WCT","mixed","negative",0,0,0,0
"FGFR2",97,8,1.51698167312082,3,5,0.375,0,0,1,0,5,0,6,0,0,0,"WCT","mixed","none",1,1,1,0
"FGFR3",128,3,-1.29415394300969,2,1,0.666666666666667,0,0,2,1,2,1,4,1,0,1,"WCT","mixed","negative",1,1,1,0
"FGFR4",131,10,1.49854401292254,5,5,0.5,0,0,6,0,1,0,7,0,0,0,"WCT","mixed","none",1,1,1,0
"FGFRL1",20,3,1.98103793468624,1,2,0.333333333333333,0,0,4,0,7,0,11,0,0,0,"WCT","mixed","none",0,0,0,0
"FGG",32,3,1.29868392060984,2,1,0.666666666666667,0,1,4,0,2,1,6,1,1,0,"WCT","mixed","positive",0,0,0,0
"FGL1",17,1,0.0893525095771905,0,1,0,0,2,4,0,1,2,5,2,2,0,"WCT","negative","positive",0,0,0,0
"FGL2",8,1,1.18167831340159,1,0,1,0,0,2,2,6,2,8,2,0,2,"WCT","positive","negative",0,0,0,0
"FGR",86,10,3.0121893737421,5,5,0.5,0,2,3,0,7,2,10,2,2,0,"WCT","mixed","positive",0,0,0,0
"FH",31,3,1.05296155846732,1,2,0.333333333333333,0,0,5,3,4,3,9,3,0,2,"WCT","mixed","negative",1,1,0,1
"FHIT",5,0,-0.5,0,0,0,0,1,5,2,6,3,11,3,1,2,"WCT","negative","both",1,1,0,1
"FHL1",34,3,1.08676245407124,0,3,0,0,0,7,2,3,2,10,2,0,2,"WCT","negative","negative",0,0,0,0
"FHL2",74,3,-0.419395447553006,0,3,0,0,1,9,0,1,1,10,1,1,0,"WCT","negative","positive",0,0,0,0
"FHL3",69,1,-1.37502540127308,0,1,0,0,2,8,0,0,2,8,2,2,0,"WCT","negative","positive",0,0,0,0
"FHL5",10,0,-0.696939036389073,0,0,0,0,0,2,1,2,1,4,1,0,1,"WCT","negative","negative",0,0,0,0
"FHOD1",26,1,-0.483597756414616,1,0,1,0,1,5,0,0,1,5,1,1,0,"WCT","positive","positive",1,0,0,0
"FHOD3",2,0,-0.367423461417476,0,0,0,0,0,7,0,2,0,9,0,0,0,"WCT","negative","none",0,0,0,0
"FIBCD1",2,0,-0.401450857139045,0,0,0,0,2,3,0,2,2,5,2,2,0,"WCT","negative","positive",0,0,0,0
"FIBIN",12,0,-0.82985543899392,0,0,0,0,4,7,3,0,7,7,5,3,2,"WCT","negative","both",0,0,0,0
"FIBP",12,0,-0.818057380074877,0,0,0,0,1,5,1,3,2,8,2,1,1,"WCT","negative","both",0,0,0,0
"FIG4",4,1,2.7,0,1,0,0,1,3,1,6,2,9,2,1,1,"WCT","negative","both",0,0,0,0
"FIGLA",6,1,1.82307692307692,1,0,1,0,0,0,0,0,0,0,0,0,0,"WCT","positive","none",0,0,0,0
"FIGNL1",11,1,0.57949268990685,0,1,0,0,2,6,0,3,2,9,2,2,0,"WCT","negative","positive",1,0,0,0
"FIGNL2",2,0,-0.251379174478918,0,0,0,0,0,1,0,1,0,2,0,0,0,"WCT","negative","none",0,0,0,0
"FILIP1",8,0,-0.588551687239885,0,0,0,0,0,2,1,1,1,3,1,0,1,"WCT","negative","negative",0,0,0,0
"FILIP1L",3,0,-0.397472689538248,0,0,0,0,0,7,1,2,1,9,1,0,1,"WCT","negative","negative",1,0,0,0
"FIP1L1",57,8,2.77990278499591,3,5,0.375,0,2,6,1,2,3,8,3,2,1,"WCT","mixed","both",0,0,0,0
"FIS1",27,2,0.579995406108885,1,1,0.5,0,1,5,1,3,2,8,2,1,1,"WCT","mixed","both",0,0,0,0
"FITM2",7,0,-0.495664018648984,0,0,0,0,0,7,1,5,1,12,1,0,1,"WCT","negative","negative",0,0,0,0
"FIZ1",3,0,-0.312909072914302,0,0,0,0,0,5,0,6,0,11,0,0,0,"WCT","negative","none",1,0,0,0
"FKBP10",22,2,0.696630546019236,2,0,1,0,2,11,0,1,2,12,2,2,0,"WCT","positive","positive",0,0,0,0
"FKBP11",7,0,-0.566796505057764,0,0,0,0,1,7,0,1,1,8,1,1,0,"WCT","negative","positive",0,0,0,0
"FKBP14",9,0,-0.784718288728972,0,0,0,0,1,10,0,1,1,11,1,1,0,"WCT","negative","positive",0,0,0,0
"FKBP15",11,2,2.04003596166607,1,1,0.5,0,2,5,1,1,3,6,3,2,1,"WCT","mixed","both",0,0,0,0
